Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: (((two bears) ((playing together) while)) ((((swimming near) a) log) .))	Gold Tree: ((two bears) ((playing (together (while (swimming (near (a log)))))) .))
Pred Tree: ((two (different bears)) ((((fight with) each) other) ((behind a) log)))	Gold Tree: ((two (different bears)) (fight ((with (each other)) (behind (a log)))))
Pred Tree: ((((a girl) takes) ((a bite) of)) (((her pepperoni) pizza) .))	Gold Tree: ((a girl) ((takes ((a bite) (of (her (pepperoni pizza))))) .))
Pred Tree: (((((a brown) sofa) and) ottoman) ((((with pillows) and) remotes) .))	Gold Tree: ((a (brown (sofa (and ottoman)))) ((with (pillows (and remotes))) .))
Pred Tree: ((a (motor bike)) (((and some) wine) (((in a) room) .)))	Gold Tree: (((a (motor bike)) (and (some wine))) ((in (a room)) .))
Pred Tree: ((((an elephant) ((behind a) wired)) fence) (((inside a) building) .))	Gold Tree: ((an elephant) ((behind ((a (wired fence)) (inside (a building)))) .))
Pred Tree: ((((a group) of) guys) (((in a) field) ((holding discs) .)))	Gold Tree: ((a group) ((of guys) ((in (a field)) ((holding discs) .))))
Pred Tree: ((a (frisbee team)) (<unk> ((in black) (((holding their) <unk>) 's))))	Gold Tree: ((a (frisbee team)) (<unk> ((in black) (holding (their (<unk> 's))))))
Pred Tree: ((((a small) couch) (<unk> with)) ((((<unk> and) <unk>) designed) pillows))	Gold Tree: ((a (small couch)) (<unk> (with (<unk> (and ((<unk> designed) pillows))))))
Pred Tree: (((two men) ((((((walk down) the) street) in) a) city)) .)	Gold Tree: ((two men) ((walk ((down (the street)) (in (a city)))) .))
Pred Tree: ((((a man) and) (a woman)) ((((are laying) in) a) bed))	Gold Tree: (((a man) (and (a woman))) (are (laying (in (a bed)))))
Pred Tree: (((((a <unk>) fire) hydrant) (((rising though) a) suburban)) (sidewalk .))	Gold Tree: ((a (<unk> (fire hydrant))) ((rising (though (a (suburban sidewalk)))) .))
Pred Tree: (((a man) ((flying a) kite)) ((((over a) sandy) beach) .))	Gold Tree: ((a man) ((flying ((a kite) (over (a (sandy beach))))) .))
Pred Tree: ((((a man) ((flying a) blue)) kite) (((in an) open) ground))	Gold Tree: ((a man) (flying ((a (blue kite)) (in (an (open ground))))))
Pred Tree: (((a cement) bench) (is ((((in a) creepy) looking) (park .))))	Gold Tree: ((a (cement bench)) ((is (in (a ((creepy looking) park)))) .))
Pred Tree: ((((a yellow) sign) (that is)) ((((sitting on) a) sidewalk) .))	Gold Tree: ((a (yellow sign)) ((that (is (sitting (on (a sidewalk))))) .))
Pred Tree: ((((((a bunch) of) bananas) are) sitting) (((on the) stand) .))	Gold Tree: (((a bunch) (of bananas)) ((are (sitting (on (the stand)))) .))
Pred Tree: ((((some type) of) (corn bread)) ((((in a) baking) pan) .))	Gold Tree: (((some type) (of (corn bread))) ((in (a (baking pan))) .))
Pred Tree: (((((a pink) hat) and) (a cellphone)) (((on some) weaved) basket))	Gold Tree: (((a (pink hat)) (and (a cellphone))) (on (some (weaved basket))))
Pred Tree: ((((a loaf) of) bread) ((with something) (((green baked) in) .)))	Gold Tree: ((a loaf) ((of bread) ((with (something (green (baked in)))) .)))
Pred Tree: ((((a person) ((flying a) blue)) kite) (((in an) open) field))	Gold Tree: ((a person) (flying ((a (blue kite)) (in (an (open field))))))
Pred Tree: ((closeup of) (((pieces of) broccoli) ((((on a) cutting) board) .)))	Gold Tree: (closeup ((of (pieces (of broccoli))) ((on (a (cutting board))) .)))
Pred Tree: ((this is) ((some light) (((((green and) dark) green) flowery) veg)))	Gold Tree: (this (is (some (((light green) (and (dark green))) (flowery veg)))))
Pred Tree: ((a factory) (((((near a) train) track) letting) ((out smoke) .)))	Gold Tree: (((a factory) (near (a (train track)))) ((letting (out smoke)) .))
Pred Tree: ((man (((((((sitting at) a) small) table) behind) a) pizza)) .)	Gold Tree: (man ((sitting ((at (a (small table))) (behind (a pizza)))) .))
Pred Tree: ((a bowl) (((holds soup) with) ((((broccoli and) other) vegetables) .)))	Gold Tree: ((a bowl) ((holds (soup (with (broccoli (and (other vegetables)))))) .))
Pred Tree: ((((a seagull) standing) (((((on a) beach) with) a) <unk>)) tide)	Gold Tree: ((a seagull) (standing ((on (a beach)) (with (a (<unk> tide))))))
Pred Tree: ((a man) (((((((wearing bright) green) pants) and) black) coat) skiing))	Gold Tree: ((a man) (wearing (((bright green) pants) (and (black (coat skiing))))))
Pred Tree: (((a girl) ((getting pushed) (in a))) (((child 's) swing) .))	Gold Tree: ((a girl) ((getting (pushed (in ((a (child 's)) swing)))) .))
Pred Tree: ((((a male) ((flying a) wing)) kite) (((in an) open) field))	Gold Tree: ((a male) (flying ((a (wing kite)) (in (an (open field))))))
Pred Tree: ((a person) ((((((standing snow) wearing) a) snow) suit) (and skis)))	Gold Tree: ((a person) ((standing snow) (wearing ((a (snow suit)) (and skis)))))
Pred Tree: (((a (stop sign)) (((((on the) side) walk) of) a)) street)	Gold Tree: ((a (stop sign)) (on ((the (side walk)) (of (a street)))))
Pred Tree: (((a dog) ((((((looking at) a) statue) of) a) cow)) .)	Gold Tree: ((a dog) ((looking (at ((a statue) (of (a cow))))) .))
Pred Tree: ((a truck) (parked ((((((in the) dirt) near) a) fence) .)))	Gold Tree: ((a truck) ((parked ((in (the dirt)) (near (a fence)))) .))
Pred Tree: (((the cart) has) ((((bananas or) plantains) piled) ((on it) .)))	Gold Tree: ((the cart) ((has ((bananas (or plantains)) (piled (on it)))) .))
Pred Tree: ((the ((two sheep) are)) (((((laying down) in) the) grass) .))	Gold Tree: ((the (two sheep)) ((are (laying (down (in (the grass))))) .))
Pred Tree: ((many skiers) (((are walking) and) ((((skiing around) the) snow) .)))	Gold Tree: ((many skiers) ((are (walking (and (skiing (around (the snow)))))) .))
Pred Tree: (((a large) plate) ((topped with) ((((lots of) fresh) fruit) .)))	Gold Tree: ((a (large plate)) ((topped (with (lots (of (fresh fruit))))) .))
Pred Tree: ((((a young) boy) ((eats something) (((in front) of) a))) bike)	Gold Tree: ((a (young boy)) (eats (something (in (front (of (a bike)))))))
Pred Tree: ((there is) (((a large) platter) ((of fruit) ((on the) table))))	Gold Tree: (there (is (((a (large platter)) (of fruit)) (on (the table)))))
Pred Tree: ((((a young) boy) ((((standing next) to) a) yellow)) (bike .))	Gold Tree: ((a (young boy)) ((standing (next (to (a (yellow bike))))) .))
Pred Tree: ((((a four) way) (stop sign)) ((((in a) <unk>) area) .))	Gold Tree: ((a (four (way (stop sign)))) ((in (a (<unk> area))) .))
Pred Tree: ((((a white) jet) airliner) ((with blue) (((sky in) background) .)))	Gold Tree: ((a (white (jet airliner))) ((with ((blue sky) (in background))) .))
Pred Tree: ((((a table) of) (displayed bananas)) ((((at a) street) market) .))	Gold Tree: ((a table) ((of (displayed bananas)) ((at (a (street market))) .)))
Pred Tree: ((boy sleeping) (((with no) blanket) ((((in a) large) bed) .)))	Gold Tree: (boy ((sleeping ((with (no blanket)) (in (a (large bed))))) .))
Pred Tree: (((an electric) bus) (is (((((driving down) a) city) street) .)))	Gold Tree: ((an (electric bus)) ((is (driving (down (a (city street))))) .))
Pred Tree: (((the bottom) ((side of) ((an air) plane))) ((on take) off))	Gold Tree: (((the (bottom side)) (of (an (air plane)))) (on (take off)))
Pred Tree: ((((a camel) and) (two horses)) ((((in a) farm) enclosure) .))	Gold Tree: (((a camel) (and (two horses))) ((in (a (farm enclosure))) .))
Pred Tree: (((a large) truck) (((is stacked) with) (((cut wooden) logs) .)))	Gold Tree: ((a (large truck)) ((is (stacked (with (cut (wooden logs))))) .))
Pred Tree: ((((young woman) playing) wii) (((((in a) furnished) living) room) .))	Gold Tree: ((young woman) ((playing (wii (in (a (furnished (living room)))))) .))
Pred Tree: (((a man) ((((((hit something) that) <unk>) with) a) bat)) .)	Gold Tree: ((a man) ((hit (something (that (<unk> (with (a bat)))))) .))
Pred Tree: (((a woman) (((holding onto) a) pink)) (((bag of) luggage) .))	Gold Tree: ((a woman) ((holding (onto ((a (pink bag)) (of luggage)))) .))
Pred Tree: ((((((a large) crowd) of) travelers) ((at a) train)) (platform .))	Gold Tree: ((a (large crowd)) ((of travelers) ((at (a (train platform))) .)))
Pred Tree: (((((a bunch) of) groceries) (are piled)) (((onto a) table) .))	Gold Tree: (((a bunch) (of groceries)) ((are (piled (onto (a table)))) .))
Pred Tree: (((a (stop sign)) ((((in foreground) of) a) tree)) (in fall))	Gold Tree: ((a (stop sign)) (in (foreground (of ((a tree) (in fall))))))
Pred Tree: (((a train) (traveling between)) (((((two very) large) rocky) mountains) .))	Gold Tree: ((a train) ((traveling (between (two ((very large) (rocky mountains))))) .))
Pred Tree: ((((a couple) of) apples) (and ((((oranges next) to) each) other)))	Gold Tree: ((a couple) ((of (apples (and oranges))) (next (to (each other)))))
Pred Tree: ((a trolley) (((((((rolling down) the) tracks) in) a) forest) .))	Gold Tree: ((a trolley) ((rolling ((down (the tracks)) (in (a forest)))) .))
Pred Tree: ((((a lot) of) vegetable) (are (((on the) kitchen) (counter .))))	Gold Tree: (((a lot) (of vegetable)) ((are (on (the (kitchen counter)))) .))
Pred Tree: (((a man) (((in a) blue) shirt)) (((with some) weird) crown))	Gold Tree: ((a man) (in ((a (blue shirt)) (with (some (weird crown))))))
Pred Tree: ((((giant stuffed) (polar bear)) ((((looks down) on) a) sleeping)) cat)	Gold Tree: ((giant (stuffed (polar bear))) (looks (down (on (a (sleeping cat))))))
Pred Tree: (((((a couple) of) giraffes) ((((eating hay) from) a) trough)) .)	Gold Tree: (((a couple) (of giraffes)) ((eating (hay (from (a trough)))) .))
Pred Tree: ((a person) ((((in a) kitchen) with) (((a stove) and) cupboards)))	Gold Tree: ((a person) (in ((a kitchen) (with (a (stove (and cupboards)))))))
Pred Tree: (((street signage) (on post)) ((near roadway) (((in city) environment) .)))	Gold Tree: ((street signage) ((on (post (near roadway))) ((in (city environment)) .)))
Pred Tree: ((((cucumber sandwiches) and) (tuna sandwiches)) ((((sit on) a) plate) .))	Gold Tree: (((cucumber sandwiches) (and (tuna sandwiches))) ((sit (on (a plate))) .))
Pred Tree: (((small sandwiches) with) ((tomatoes and) ((cucumbers slices) ((in them) .))))	Gold Tree: ((small sandwiches) (((with (tomatoes (and cucumbers))) (slices (in them))) .))
Pred Tree: ((a man) ((preparing food) (((((on a) large) old) oven) .)))	Gold Tree: ((a man) ((preparing (food (on (a (large (old oven)))))) .))
Pred Tree: ((there is) ((((a large) concrete) sign) (((small buildings) behind) it)))	Gold Tree: (there (is ((a (large (concrete sign))) ((small buildings) (behind it)))))
Pred Tree: ((a (traffic light)) ((((((and many) cars) on) a) road) .))	Gold Tree: (((a (traffic light)) (and (many cars))) ((on (a road)) .))
Pred Tree: ((two giraffes) (sitting ((((((in the) grass) next) to) each) other)))	Gold Tree: ((two giraffes) (sitting ((in (the grass)) (next (to (each other))))))
Pred Tree: (((a man) (((sits on) a) stool)) (((in a) kitchen) .))	Gold Tree: ((a man) ((sits ((on (a stool)) (in (a kitchen)))) .))
Pred Tree: (((a couple) (of giraffe)) (((((standing next) to) a) pole) .))	Gold Tree: ((a couple) ((of giraffe) ((standing (next (to (a pole)))) .)))
Pred Tree: (((an airplane) is) ((((((on the) pavement) at) the) airport) .))	Gold Tree: ((an airplane) ((is ((on (the pavement)) (at (the airport)))) .))
Pred Tree: ((((((a large) black) and) white) horse) (((has long) hair) .))	Gold Tree: ((a ((large (black (and white))) horse)) ((has (long hair)) .))
Pred Tree: (((many people) ((around a) chocolate)) ((((birthday cake) with) candles) .))	Gold Tree: ((many people) ((around ((a (chocolate (birthday cake))) (with candles))) .))
Pred Tree: ((((a scale) and) (((a bunch) of) fruit)) ((in boxes) .))	Gold Tree: (((a scale) (and (a bunch))) ((of fruit) ((in boxes) .)))
Pred Tree: ((most store) ((((((produce departments) (are equipped)) with) weight) scales) .))	Gold Tree: ((most (store (produce departments))) ((are (equipped (with (weight scales)))) .))
Pred Tree: (((two brown) horses) (((grazing the) grass) (((in a) field) .)))	Gold Tree: ((two (brown horses)) ((grazing ((the grass) (in (a field)))) .))
Pred Tree: ((a zebra) (((((((behind a) chain) link) and) electric) fence) .))	Gold Tree: ((a zebra) ((behind (a ((chain link) (and (electric fence))))) .))
Pred Tree: (((a zebra) is) (standing (((((behind a) chain) link) fence) .)))	Gold Tree: ((a zebra) ((is (standing (behind (a (chain (link fence)))))) .))
Pred Tree: (((((a large) group) of) zebra) ((((standing in) the) grass) .))	Gold Tree: (((a (large group)) (of zebra)) ((standing (in (the grass))) .))
Pred Tree: ((((an <unk>) investigates) (((two frisbees) that) are)) ((near it) .))	Gold Tree: ((an <unk>) ((investigates ((two frisbees) (that (are (near it))))) .))
Pred Tree: (((a dog) (((sitting on) a) chair)) (((underneath a) painting) .))	Gold Tree: ((a dog) ((sitting ((on (a chair)) (underneath (a painting)))) .))
Pred Tree: ((people are) ((((sitting at) outdoor) tables) (((under red) umbrellas) .)))	Gold Tree: (people ((are (sitting ((at (outdoor tables)) (under (red umbrellas))))) .))
Pred Tree: (((a man) (standing ((with a) glass))) (((in his) hand) .))	Gold Tree: ((a man) ((standing (with ((a glass) (in (his hand))))) .))
Pred Tree: (((people ((((are seated) at) an) outdoor)) restaurant) ((by the) water))	Gold Tree: (people (are (seated ((at (an (outdoor restaurant))) (by (the water))))))
Pred Tree: ((a woman) (((((standing on) the) beach) and) ((holding an) umbrella)))	Gold Tree: ((a woman) ((standing (on (the beach))) (and (holding (an umbrella)))))
Pred Tree: (((a large) umbrella) (((blocks the) sun) (((at the) beach) .)))	Gold Tree: ((a (large umbrella)) ((blocks ((the sun) (at (the beach)))) .))
Pred Tree: ((((a cruise) ship) ((((travelling out) of) an) expansive)) (harbor .))	Gold Tree: ((a (cruise ship)) ((travelling (out (of (an (expansive harbor))))) .))
Pred Tree: (((the ocean) inlet) (is (((a favorite) place) ((for boaters) .))))	Gold Tree: ((the (ocean inlet)) ((is ((a (favorite place)) (for boaters))) .))
Pred Tree: (((((row of) umbrellas) of) (various colors)) (((under a) pavilion) .))	Gold Tree: (row ((of (umbrellas (of (various colors)))) ((under (a pavilion)) .)))
Pred Tree: ((colorful umbrellas) (((((((rest on) the) ground) at) a) market) .))	Gold Tree: ((colorful umbrellas) ((rest ((on (the ground)) (at (a market)))) .))
Pred Tree: ((((((a large) group) of) people) (are ((gathered around) the))) table)	Gold Tree: (((a (large group)) (of people)) (are (gathered (around (the table)))))
Pred Tree: ((((a lot) of) people) (((having some) wine) ((and talking) .)))	Gold Tree: (((a lot) (of people)) (((having (some wine)) (and talking)) .))
Pred Tree: (((((a parade) of) people) (in boats)) (((on the) river) .))	Gold Tree: ((a parade) ((of (people (in boats))) ((on (the river)) .)))
Pred Tree: (((((people and) their) children) are) ((gathered outside) ((meeting together) .)))	Gold Tree: ((people (and (their children))) ((are (gathered (outside (meeting together)))) .))
Pred Tree: (oranges ((((((((in a) grocery) store) by) a) large) scale) .))	Gold Tree: (oranges ((in (a (grocery store))) ((by (a (large scale))) .)))
Pred Tree: ((((a small) red) plane) (((((sitting in) a) open) field) .))	Gold Tree: ((a (small (red plane))) ((sitting (in (a (open field)))) .))
Pred Tree: ((doorway (view into)) ((bathroom with) ((((a sink) and) toilet) .)))	Gold Tree: ((doorway view) ((into (bathroom (with (a (sink (and toilet)))))) .))
Pred Tree: (((a bathroom) with) (((a toilet) ,) (((sink and) mirror) .)))	Gold Tree: ((a bathroom) ((with (a (toilet (, (sink (and mirror)))))) .))
Pred Tree: ((((a bathroom) area) with) ((toilet ,) (((sink and) tub) .)))	Gold Tree: ((a (bathroom area)) ((with (toilet (, (sink (and tub))))) .))
Pred Tree: ((((a young) girl) (((in a) helmet) ((riding a) skateboard))) .)	Gold Tree: (((a (young girl)) (in (a helmet))) ((riding (a skateboard)) .))
Pred Tree: (((((a marble) tiled) bathroom) with) (((double sinks) and) (wooden cabinets)))	Gold Tree: ((a (marble (tiled bathroom))) (with ((double sinks) (and (wooden cabinets)))))
Pred Tree: ((((((a row) of) bikes) and) motorbikes) (((line the) street) .))	Gold Tree: (((a row) (of (bikes (and motorbikes)))) ((line (the street)) .))
Pred Tree: ((a (parking area)) ((for motorcycles) ((((and bicycles) along) a) street)))	Gold Tree: ((a (parking area)) ((for (motorcycles (and bicycles))) (along (a street))))
Pred Tree: (((((a large) white) bathroom) with) (((white cabinets) and) (double sinks)))	Gold Tree: ((a (large (white bathroom))) (with ((white cabinets) (and (double sinks)))))
Pred Tree: ((((a bathroom) that) has) (((two sinks) and) ((a shower) .)))	Gold Tree: ((a bathroom) ((that (has ((two sinks) (and (a shower))))) .))
Pred Tree: ((a person) (((is skateboarding) while) ((((wearing a) blue) helmet) .)))	Gold Tree: ((a person) ((is (skateboarding (while (wearing (a (blue helmet)))))) .))
Pred Tree: (((a small) child) ((((wears a) helmet) while) ((riding a) skateboard)))	Gold Tree: ((a (small child)) (wears ((a helmet) (while (riding (a skateboard))))))
Pred Tree: (((a man) ((riding a) skateboard)) ((((on top) of) pavement) .))	Gold Tree: ((a man) ((riding ((a skateboard) (on (top (of pavement))))) .))
Pred Tree: ((((a bowl) with) (kitchen utensils)) ((((sits next) to) the) stove))	Gold Tree: (((a bowl) (with (kitchen utensils))) (sits (next (to (the stove)))))
Pred Tree: (((cooking utensils) ((((((in a) glass) next) to) an) oven)) .)	Gold Tree: ((cooking utensils) ((in ((a glass) (next (to (an oven))))) .))
Pred Tree: (((a white) toilet) ((((((on the) ground) by) some) junk) .))	Gold Tree: ((a (white toilet)) ((on (the ground)) ((by (some junk)) .)))
Pred Tree: (((a white) toilet) (((sitting next) to) (((trunks of) stuff) .)))	Gold Tree: ((a (white toilet)) ((sitting (next (to (trunks (of stuff))))) .))
Pred Tree: (((a building) with) ((((a bunch) of) people) ((standing around) it)))	Gold Tree: ((a building) (with (((a bunch) (of people)) (standing (around it)))))
Pred Tree: (((((a pair) of) scissors) (that is)) (((a grassy) area) .))	Gold Tree: ((a pair) ((of scissors) ((that (is (a (grassy area)))) .)))
Pred Tree: (((a large) clock) ((((((on the) side) of) a) building) .))	Gold Tree: ((a (large clock)) ((on ((the side) (of (a building)))) .))
Pred Tree: ((((a large) clock) with) (an ((((astrological attached) to) it) .)))	Gold Tree: (((a (large clock)) (with (an astrological))) ((attached (to it)) .))
Pred Tree: (((a family) (((walks on) a) runway)) (((near huge) planes) .))	Gold Tree: ((a family) ((walks ((on (a runway)) (near (huge planes)))) .))
Pred Tree: (((a skateboarder) (((is taking) a) break)) (((at a) skatepark) .))	Gold Tree: ((a skateboarder) ((is (taking ((a break) (at (a skatepark))))) .))
Pred Tree: (((a man) ((in the) kitchen)) (standing (((with his) dog) .)))	Gold Tree: (((a man) (in (the kitchen))) ((standing (with (his dog))) .))
Pred Tree: ((((two forks) on) ((a plate) of)) (((cake and) cream) .))	Gold Tree: ((two forks) ((on ((a plate) (of (cake (and cream))))) .))
Pred Tree: ((a ((sink of) ((a bathroom) with))) (((things on) the) counter))	Gold Tree: ((a sink) ((of (a bathroom)) (with (things (on (the counter))))))
Pred Tree: ((two giraffes) ((((in a) wild) ,) (((lightly wooded) field) .)))	Gold Tree: ((two giraffes) ((in (a (wild (, ((lightly wooded) field))))) .))
Pred Tree: (((a bedroom) with) (((a bed) and) (((a flat) screen) television)))	Gold Tree: ((a bedroom) (with ((a bed) (and (a (flat (screen television)))))))
Pred Tree: ((((a big) screen) tv) (((((in a) fancy) looking) hotel) room))	Gold Tree: ((a ((big screen) tv)) (in (a ((fancy looking) (hotel room)))))
Pred Tree: ((a (cutting board)) (, ((((pot rack) and) dish) (shelf .))))	Gold Tree: (a (((cutting board) (, ((pot rack) (and (dish shelf))))) .))
Pred Tree: ((((a small) bathroom) with) (((a sink) and) ((a toilet) .)))	Gold Tree: ((a (small bathroom)) ((with ((a sink) (and (a toilet)))) .))
Pred Tree: (((a bowl) of) (((food next) to) (((a very) close) banana)))	Gold Tree: ((a bowl) ((of food) (next (to (a ((very close) banana))))))
Pred Tree: ((the bathroom) ((is clean) (((((and ready) to) be) used) .)))	Gold Tree: ((the bathroom) ((is (clean (and (ready (to (be used)))))) .))
Pred Tree: ((there is) (((a bathroom) with) ((sinks and) ((soap dispensers) .))))	Gold Tree: (there ((is ((a bathroom) (with (sinks (and (soap dispensers)))))) .))
Pred Tree: ((((three sinks) and) (a mirror)) ((((in a) public) restroom) .))	Gold Tree: ((three sinks) (and (((a mirror) (in (a (public restroom)))) .)))
Pred Tree: (((a bathroom) with) ((((a white) toilet) and) ((walk in) shower)))	Gold Tree: ((a bathroom) (with ((a (white toilet)) (and (walk (in shower))))))
Pred Tree: (((three young) people) (standing (((((and talking) on) a) sidewalk) .)))	Gold Tree: ((three (young people)) ((standing (and (talking (on (a sidewalk))))) .))
Pred Tree: (((a bathroom) with) (((white tile) and) (((a beige) toilet) .)))	Gold Tree: ((a bathroom) ((with ((white tile) (and (a (beige toilet))))) .))
Pred Tree: (((a toilet) (((has the) lid) ((down by) a))) (sink .))	Gold Tree: ((a toilet) ((has ((the lid) (down (by (a sink))))) .))
Pred Tree: (((a man) ((((is posing) for) a) great)) ((photo shop) .))	Gold Tree: ((a man) ((is (posing (for (a (great (photo shop)))))) .))
Pred Tree: (((((a filthy) sink) and) toilet) ((((are seen) from) above) .))	Gold Tree: ((a (filthy (sink (and toilet)))) ((are (seen (from above))) .))
Pred Tree: ((a ((picture of) (a toilet))) ((((taken from) above) it) .))	Gold Tree: (((a picture) (of (a toilet))) ((taken (from (above it))) .))
Pred Tree: (((a close) ((up of) (a toilet))) (((in a) bath) room))	Gold Tree: ((a (close up)) ((of (a toilet)) (in (a (bath room)))))
Pred Tree: ((((the small) bathroom) has) (((((wooden cabinets) around) the) sink) .))	Gold Tree: ((the (small bathroom)) ((has ((wooden cabinets) (around (the sink)))) .))
Pred Tree: (((a broken) toilet) ((((((sitting outside) of) a) motel) room) .))	Gold Tree: ((a (broken toilet)) ((sitting (outside (of (a (motel room))))) .))
Pred Tree: (((a toilet) (((sitting outside) a) building)) (((in an) alley) .))	Gold Tree: ((a toilet) ((sitting ((outside (a building)) (in (an alley)))) .))
Pred Tree: ((overhead ((picture of) (a toilet))) ((((in a) white) stall) .))	Gold Tree: ((overhead picture) ((of ((a toilet) (in (a (white stall))))) .))
Pred Tree: (((a young) batter) (swings (((((during a) little) league) game) .)))	Gold Tree: ((a (young batter)) ((swings (during (a (little (league game))))) .))
Pred Tree: ((((we are) (looking at)) (a plate)) (((full of) salad) .))	Gold Tree: (we ((are (looking (at ((a plate) (full (of salad)))))) .))
Pred Tree: (((a man) ((holding a) giant)) (((pair of) (black scissors)) .))	Gold Tree: ((a man) ((holding ((a (giant pair)) (of (black scissors)))) .))
Pred Tree: ((((a clock) (is shown)) with) (gold (((detailing around) it) .)))	Gold Tree: ((a clock) ((is (shown (with ((gold detailing) (around it))))) .))
Pred Tree: (((a calico) cat) (((((sleeps on) a) red) desk) (chair .)))	Gold Tree: ((a (calico cat)) ((sleeps (on (a (red (desk chair))))) .))
Pred Tree: (((a man) (((sitting at) a) table)) (((holding a) baby) .))	Gold Tree: (((a man) (sitting (at (a table)))) ((holding (a baby)) .))
Pred Tree: ((((((a bunch) of) people) (((sit in) an) open)) court) yard)	Gold Tree: (((a bunch) (of people)) (sit (in (an (open (court yard))))))
Pred Tree: (((a calico) cat) ((sleeping on) ((((an orange) office) chair) .)))	Gold Tree: ((a (calico cat)) ((sleeping (on (an (orange (office chair))))) .))
Pred Tree: (((a few) bags) ((((((laying around) in) a) living) room) .))	Gold Tree: ((a (few bags)) ((laying (around (in (a (living room))))) .))
Pred Tree: ((((((a small) group) of) people) (((standing around) a) ball)) patio)	Gold Tree: ((a (small group)) ((of people) (standing (around (a (ball patio))))))
Pred Tree: (((((a group) of) people) (((walking around) a) parking)) (lot .))	Gold Tree: (((a group) (of people)) ((walking (around (a (parking lot)))) .))
Pred Tree: (((((a group) of) people) ((((in front) of) a) white)) building)	Gold Tree: ((a group) ((of people) (in (front (of (a (white building)))))))
Pred Tree: ((((((an beautifully) designed) clock) tower) with) (((gold and) blue) .))	Gold Tree: ((an ((beautifully designed) (clock tower))) ((with (gold (and blue))) .))
Pred Tree: ((((a group) of) people) (((play video) games) ((with controllers) .)))	Gold Tree: (((a group) (of people)) ((play ((video games) (with controllers))) .))
Pred Tree: (((black and) white) ((photo of) (((two layers) of) (sprinkled donuts))))	Gold Tree: (((black (and white)) photo) (of ((two layers) (of (sprinkled donuts)))))
Pred Tree: ((a woman) (standing ((((in her) living) room) ((playing wii) .))))	Gold Tree: ((a woman) ((standing ((in (her (living room))) (playing wii))) .))
Pred Tree: (woman (((((standing in) living) room) using) (((video game) controls) .)))	Gold Tree: (woman ((standing ((in (living room)) (using (video (game controls))))) .))
Pred Tree: (((((a woman) and) kid) ((playing a) game)) ((on the) wii))	Gold Tree: ((a (woman (and kid))) (playing ((a game) (on (the wii)))))
Pred Tree: (((a woman) and) (((a kid) playing) (((with some) wii) motes)))	Gold Tree: (((a woman) (and (a kid))) (playing (with (some (wii motes)))))
Pred Tree: ((a cat) (((((crouches on) a) desk) with) ((a lamp) .)))	Gold Tree: ((a cat) ((crouches ((on (a desk)) (with (a lamp)))) .))
Pred Tree: ((a man) (((in costume) talking) ((((on a) cell) phone) .)))	Gold Tree: (((a man) (in costume)) ((talking (on (a (cell phone)))) .))
Pred Tree: (((a cat) getting) ((up off) ((((on a) brown) desk) .)))	Gold Tree: ((a cat) ((getting ((up off) (on (a (brown desk))))) .))
Pred Tree: (((((a sleeping) child) ((holding a) wii)) controller) ((in hand) .))	Gold Tree: ((a (sleeping child)) ((holding ((a (wii controller)) (in hand))) .))
Pred Tree: ((there are) ((three vases) (((made of) clay) ((on a) table))))	Gold Tree: (there (are (((three vases) (made (of clay))) (on (a table)))))
Pred Tree: (((a man) (stands and)) (((((talks on) his) cell) phone) .))	Gold Tree: ((a man) ((stands (and (talks (on (his (cell phone)))))) .))
Pred Tree: (((a back) (ally neighborhood)) (with ((motor bikes) ((in a) row))))	Gold Tree: ((a (back (ally neighborhood))) (with ((motor bikes) (in (a row)))))
Pred Tree: ((((a couple) of) men) (((((standing next) to) each) other) .))	Gold Tree: (((a couple) (of men)) ((standing (next (to (each other)))) .))
Pred Tree: ((a boy) (((in yellow) shirt) ((((swinging a) baseball) bat) .)))	Gold Tree: (((a boy) (in (yellow shirt))) ((swinging (a (baseball bat))) .))
Pred Tree: (((a pole) with) ((a clock) ((on top) ((on a) sidewalk))))	Gold Tree: ((a pole) (with ((a clock) (on (top (on (a sidewalk)))))))
Pred Tree: ((((a collection) of) (kitchen utensils)) ((((in a) metal) bowl) .))	Gold Tree: (((a collection) (of (kitchen utensils))) ((in (a (metal bowl))) .))
Pred Tree: (((a metal) cup) ((filled with) ((((scissors and) two) <unk>) .)))	Gold Tree: ((a (metal cup)) ((filled (with (scissors (and (two <unk>))))) .))
Pred Tree: (((((a black) and) white) ((picture of) (a (stop sign)))) .)	Gold Tree: ((a ((black (and white)) picture)) ((of (a (stop sign))) .))
Pred Tree: ((a man) ((((in a) police) uniform) (((riding a) motorcycle) .)))	Gold Tree: (((a man) (in (a (police uniform)))) ((riding (a motorcycle)) .))
Pred Tree: (((a policeman) ((on a) motorcycle)) ((((driving through) a) village) .))	Gold Tree: (((a policeman) (on (a motorcycle))) ((driving (through (a village))) .))
Pred Tree: (((a policeman) (((rides on) a) motorbike)) (((in the) street) .))	Gold Tree: ((a policeman) ((rides ((on (a motorbike)) (in (the street)))) .))
Pred Tree: ((((a few) people) (that are)) ((playing tennis) ((on a) court)))	Gold Tree: ((a (few people)) (that (are (playing (tennis (on (a court)))))))
